# WAVELENGTH THROUGHPUT
2.298648794999999190e+00 0.000000000000000000e+00
2.299849760999999493e+00 0.000000000000000000e+00
2.301050726999999796e+00 1.486792357153069244e-06
2.302251693000000099e+00 1.681286462971286877e-06
2.303452658999999958e+00 1.890264778352473552e-06
2.304653624999999817e+00 2.123297607875561403e-06
2.305854591000000120e+00 2.390650503603347876e-06
2.307055556999999979e+00 2.902685136207437143e-06
2.308256522999999838e+00 3.239414517296909925e-06
2.309457488000000058e+00 3.670247805417643264e-06
2.310658453999999917e+00 4.148225225326982529e-06
2.311859420000000220e+00 4.691103922834021997e-06
2.313060386000000079e+00 5.835913057666435077e-06
2.314261351999999938e+00 6.626691112417739245e-06
2.315462317999999797e+00 7.587087348861014087e-06
2.316663284000000100e+00 8.744568137879752166e-06
2.317864249999999959e+00 1.002985933122864073e-05
2.319065215999999818e+00 1.271080659879622191e-05
2.320266182000000121e+00 1.446946211088319797e-05
2.321467147999999980e+00 1.661293775040493230e-05
2.322668113999999839e+00 1.906648126248183502e-05
2.323869080000000142e+00 2.177606590949637960e-05
2.325070046000000001e+00 2.709858431678006431e-05
2.326271012000000304e+00 3.035164778382881356e-05
2.327471977000000081e+00 3.429356863237009782e-05
2.328672942999999940e+00 3.881710468172250988e-05
2.329873908999999799e+00 4.386256700210981562e-05
2.331074875000000102e+00 5.245478013320731161e-05
2.332275840999999961e+00 5.870156254449823344e-05
2.333476806999999820e+00 6.615808273997729006e-05
2.334677773000000123e+00 7.483604853044460953e-05
2.335878739000000426e+00 8.483885573942101836e-05
2.337079705000000285e+00 1.002469844486471420e-04
2.338280671000000144e+00 1.140232438824407478e-04
2.339481637000000003e+00 1.296750309276200783e-04
2.340682603000000306e+00 1.479178567072576389e-04
2.341883569000000165e+00 1.685515893841500930e-04
2.343084535000000024e+00 1.946375192138208364e-04
2.344285500999999883e+00 2.216820816490917400e-04
2.345486466000000103e+00 2.534051693022665460e-04
2.346687431999999962e+00 2.905097079007934783e-04
2.347888398000000265e+00 3.335388227317076623e-04
2.349089364000000124e+00 3.868182898338699393e-04
2.350290329999999983e+00 4.493939089506577677e-04
2.351491296000000286e+00 5.252360869200766022e-04
2.352692262000000145e+00 6.169044338638044085e-04
2.353893228000000004e+00 7.276784275764612651e-04
2.355094193999999863e+00 8.724290872605941277e-04
2.356295160000000166e+00 1.038675964508239090e-03
2.357496126000000025e+00 1.238246211332681961e-03
2.358697091999999884e+00 1.475746209782147602e-03
2.359898058000000187e+00 1.756234686475855291e-03
2.361099024000000046e+00 2.129270696684887679e-03
2.362299989000000267e+00 2.517590947379082407e-03
2.363500955000000125e+00 2.958569918549942140e-03
2.364701920999999984e+00 3.452008868760623669e-03
2.365902887000000288e+00 3.996658612781324102e-03
2.367103853000000147e+00 4.687281244894972096e-03
2.368304819000000006e+00 5.331002552294535242e-03
2.369505784999999864e+00 6.013423861986253588e-03
2.370706751000000168e+00 6.730397922573317163e-03
2.371907717000000027e+00 7.481152396275873688e-03
2.373108682999999886e+00 8.353963034711892055e-03
2.374309649000000189e+00 9.165811445008454836e-03
2.375510615000000048e+00 9.951537620802577630e-03
2.376711580999999907e+00 1.080519772385244229e-02
2.377912547000000210e+00 1.173322981602791144e-02
2.379113513000000069e+00 1.276765273582257908e-02
2.380314477999999845e+00 1.390055418762453643e-02
2.381515444000000148e+00 1.517121076575280933e-02
2.382716410000000007e+00 1.661185999395779767e-02
2.383917375999999866e+00 1.825704300991786225e-02
2.385118342000000169e+00 2.016430643105320344e-02
2.386319308000000028e+00 2.234634132353514879e-02
2.387520273999999887e+00 2.488384521818192557e-02
2.388721240000000190e+00 2.784516169113989900e-02
2.389922206000000049e+00 3.130572088832019734e-02
2.391123171999999908e+00 3.537422738776454384e-02
2.392324138000000211e+00 4.009664832448739391e-02
2.393525104000000070e+00 4.558188106693585040e-02
2.394726070000000373e+00 5.190931210766051851e-02
2.395927035999999788e+00 5.913958027201735024e-02
2.397128002000000091e+00 6.733899574600771265e-02
2.398328966999999867e+00 7.640273394912569516e-02
2.399529933000000170e+00 8.627177497222608682e-02
2.400730899000000029e+00 9.678241245578092511e-02
2.401931864999999888e+00 1.077109638614427156e-01
2.403132831000000191e+00 1.188539060876912662e-01
2.404333797000000050e+00 1.297746796286804449e-01
2.405534762999999909e+00 1.402540920908647848e-01
2.406735729000000212e+00 1.500496524188855429e-01
2.407936695000000071e+00 1.589943146944144958e-01
2.409137661000000374e+00 1.671176117467468858e-01
2.410338626999999789e+00 1.742513158601821932e-01
2.411539593000000092e+00 1.806108223525694778e-01
2.412740558999999951e+00 1.863940984057711470e-01
2.413941525000000254e+00 1.918520404693474513e-01
2.415142491000000113e+00 1.973705666039475559e-01
2.416343455999999890e+00 2.029901995001927306e-01
2.417544422000000193e+00 2.090477024571881781e-01
2.418745388000000052e+00 2.157057823335716273e-01
2.419946354000000355e+00 2.230462053572204728e-01
2.421147320000000214e+00 2.311867990146423413e-01
2.422348286000000073e+00 2.397684020051379372e-01
2.423549251999999932e+00 2.487213034712581206e-01
2.424750217999999791e+00 2.577924034941789788e-01
2.425951184000000094e+00 2.667007411806399664e-01
2.427152149999999953e+00 2.753232604093487357e-01
2.428353116000000256e+00 2.831345431531281376e-01
2.429554082000000115e+00 2.901171381873361987e-01
2.430755047999999974e+00 2.961946250980649342e-01
2.431956013999999833e+00 3.013785719815555986e-01
2.433156980000000136e+00 3.059219412834244811e-01
2.434357945000000356e+00 3.096514003958509842e-01
2.435558911000000215e+00 3.129124050523025558e-01
2.436759877000000074e+00 3.158934797517091164e-01
2.437960842999999933e+00 3.187722558127632499e-01
2.439161808999999792e+00 3.218694397456680623e-01
2.440362775000000095e+00 3.249732210778501496e-01
2.441563740999999954e+00 3.283398322177267792e-01
2.442764706999999813e+00 3.320319457996570023e-01
2.443965673000000116e+00 3.360883025275256397e-01
2.445166638999999975e+00 3.406948028306417964e-01
2.446367604999999834e+00 3.454952095451677696e-01
2.447568571000000137e+00 3.506304913187781036e-01
2.448769536999999996e+00 3.560515126554302245e-01
2.449970502999999855e+00 3.616949371328755936e-01
2.451171469000000158e+00 3.669042536879894567e-01
2.452372433999999934e+00 3.723578477606178661e-01
2.453573399999999793e+00 3.777699159353234415e-01
2.454774366000000096e+00 3.830465163132369955e-01
2.455975331999999955e+00 3.881034991766128539e-01
2.457176297999999814e+00 3.926558569222428630e-01
2.458377264000000118e+00 3.970617478425604863e-01
2.459578229999999976e+00 4.010652429714575695e-01
2.460779195999999835e+00 4.046375228930390033e-01
2.461980162000000139e+00 4.077660922171753022e-01
2.463181127999999998e+00 4.102325166206759466e-01
2.464382093999999856e+00 4.125050422228767055e-01
2.465583060000000160e+00 4.143914093267572207e-01
2.466784026000000019e+00 4.159293571649363419e-01
2.467984992000000322e+00 4.171619471994602590e-01
2.469185958000000181e+00 4.181274373708672720e-01
2.470386922999999957e+00 4.188869671250656790e-01
2.471587888999999816e+00 4.196972001150588438e-01
2.472788855000000119e+00 4.201533871790700259e-01
2.473989820999999978e+00 4.207325562230534999e-01
2.475190786999999837e+00 4.210103334469452174e-01
2.476391753000000140e+00 4.212432942765152455e-01
2.477592718999999999e+00 4.216674816252166114e-01
2.478793685000000302e+00 4.218470260982823961e-01
2.479994651000000161e+00 4.222306340444548223e-01
2.481195617000000020e+00 4.223708048901319012e-01
2.482396583000000323e+00 4.227246183446745076e-01
2.483597549000000182e+00 4.230558191915671507e-01
2.484798515000000041e+00 4.233602985749221892e-01
2.485999480999999900e+00 4.234054514974138761e-01
2.487200446000000120e+00 4.236231132973119484e-01
2.488401411999999979e+00 4.237896917185005607e-01
2.489602377999999838e+00 4.236720296298635002e-01
2.490803344000000141e+00 4.237081257943697832e-01
2.492004310000000000e+00 4.236635652564251786e-01
2.493205276000000303e+00 4.235411146183074571e-01
