# WAVELENGTH THROUGHPUT
3.646973653999999954e+00 0.000000000000000000e+00
3.648324885000000073e+00 0.000000000000000000e+00
3.649676116000000192e+00 2.602974593785007727e-05
3.651027346999999867e+00 2.639450841694570838e-05
3.652378579000000069e+00 2.676028484569796046e-05
3.653729810000000189e+00 2.680785280664141202e-05
3.655081041999999947e+00 2.671161348230852812e-05
3.656432273000000066e+00 2.670949894101165613e-05
3.657783504000000185e+00 2.673940410296634263e-05
3.659134735999999943e+00 2.700643262405136839e-05
3.660485967000000063e+00 2.748620135435042344e-05
3.661837198999999821e+00 2.792995655185365238e-05
3.663188429999999940e+00 2.847014056460439669e-05
3.664539662000000142e+00 2.907758699892459207e-05
3.665890892999999817e+00 2.984394615910710910e-05
3.667242125000000019e+00 3.079839390180845438e-05
3.668593356000000139e+00 3.166042508792647975e-05
3.669944586999999814e+00 3.226512115965730925e-05
3.671295819000000016e+00 3.287763584852058870e-05
3.672647050000000135e+00 3.372725003704816539e-05
3.673998281999999893e+00 3.477963127743589726e-05
3.675349513000000012e+00 3.588735239053406778e-05
3.676700745000000214e+00 3.704568149862703697e-05
3.678051975999999890e+00 3.828786047311702256e-05
3.679403208000000092e+00 3.957252778917642432e-05
3.680754439000000211e+00 4.105262344628388935e-05
3.682105669999999886e+00 4.241488847162588498e-05
3.683456902000000088e+00 4.326200726018518324e-05
3.684808133000000208e+00 4.404700775962977846e-05
3.686159364999999966e+00 4.505218178374133432e-05
3.687510596000000085e+00 4.609167820764946736e-05
3.688861827999999843e+00 4.735486815113661938e-05
3.690213058999999962e+00 4.890228034734514490e-05
3.691564290000000081e+00 5.061000231748813215e-05
3.692915521999999839e+00 5.285587222581518223e-05
3.694266752999999959e+00 5.557641055997108201e-05
3.695617985000000161e+00 5.857311905728475212e-05
3.696969215999999836e+00 6.204525151719626405e-05
3.698320448000000038e+00 6.563204079201420053e-05
3.699671679000000157e+00 6.902103970452387756e-05
3.701022910999999915e+00 7.244506188555701058e-05
3.702374142000000035e+00 7.598025089053701158e-05
3.703725373000000154e+00 7.989874709375251681e-05
3.705076604999999912e+00 8.408850690881753223e-05
3.706427836000000031e+00 8.815676868209207319e-05
3.707779067999999789e+00 9.224459272683829358e-05
3.709130298999999908e+00 9.693675139733535194e-05
3.710481531000000111e+00 1.023360554048464863e-04
3.711832761999999786e+00 1.082263875516513511e-04
3.713183992999999905e+00 1.144325171162609360e-04
3.714535225000000107e+00 1.209470062679925600e-04
3.715886455999999782e+00 1.284097434728904399e-04
3.717237687999999984e+00 1.369128567374770973e-04
3.718588919000000104e+00 1.461096557107381547e-04
3.719940150999999862e+00 1.555982079190882067e-04
3.721291381999999981e+00 1.654873605244555818e-04
3.722642614000000183e+00 1.765784978790716181e-04
3.723993844999999858e+00 1.889618287438730559e-04
3.725345075999999978e+00 2.018113457688807950e-04
3.726696308000000180e+00 2.149210641854326013e-04
3.728047538999999855e+00 2.285720676203710196e-04
3.729398771000000057e+00 2.431734057496618535e-04
3.730750002000000176e+00 2.595222634622182823e-04
3.732101233999999934e+00 2.774736723242037743e-04
3.733452465000000053e+00 2.962791864945472226e-04
3.734803696000000173e+00 3.161210873371663528e-04
3.736154927999999931e+00 3.373720969038230275e-04
3.737506159000000050e+00 3.602520919998498288e-04
3.738857390999999808e+00 3.849768743910533591e-04
3.740208621999999927e+00 4.109259030397703757e-04
3.741559854000000129e+00 4.377455750029017557e-04
3.742911084999999805e+00 4.660432068169185951e-04
