# WAVELENGTH THROUGHPUT
1.685400024414062781e+00 0.000000000000000000e+00
1.686400024414062893e+00 0.000000000000000000e+00
1.687400024414062560e+00 8.017056971972917026e-05
1.688400024414062450e+00 8.702230267909132576e-05
1.689400024414062562e+00 9.488626766298532175e-05
1.690400024414062452e+00 1.019014270958963679e-04
1.691400024414062564e+00 1.111222194289372169e-04
1.692400024414062454e+00 1.215899199407726247e-04
1.693400024414062566e+00 1.331472123351776433e-04
1.694400024414062456e+00 1.461387272280356329e-04
1.695400024414062568e+00 1.602793541591747124e-04
1.696400024414062457e+00 1.763779240702411386e-04
1.697400024414062569e+00 1.956743144411157882e-04
1.698400024414062459e+00 2.157236899425044355e-04
1.699400024414062571e+00 2.413292323177477279e-04
1.700400024414062461e+00 2.696080253419583608e-04
1.701400024414062573e+00 3.006464638838371125e-04
1.702400024414062463e+00 3.393775558464229530e-04
1.703400024414062575e+00 3.810697769005679057e-04
1.704400024414062464e+00 4.291255490852745715e-04
1.705400024414062576e+00 4.846656190784501337e-04
1.706400024414062466e+00 5.477893221594921404e-04
1.707400024414062578e+00 6.193111469714340398e-04
1.708400024414062468e+00 6.993133094881203706e-04
1.709400024414062580e+00 7.915339378987597133e-04
1.710400024414062470e+00 8.968100966388265535e-04
1.711400024414062582e+00 1.012152812566155741e-03
1.712400024414062472e+00 1.146829407312481520e-03
1.713400024414062583e+00 1.298742960734350230e-03
1.714400024414062473e+00 1.465655503586479110e-03
1.715400024414062585e+00 1.656491698669097356e-03
1.716400024414062475e+00 1.879850275695649654e-03
1.717400024414062587e+00 2.125841702938989844e-03
1.718400024414062477e+00 2.414600181842234232e-03
1.719400024414062589e+00 2.752020198912246036e-03
1.720400024414062479e+00 3.124799520799872998e-03
1.721400024414062591e+00 3.558293047448587727e-03
1.722400024414062480e+00 4.063946855958073222e-03
1.723400024414062592e+00 4.646604116956241926e-03
1.724400024414062482e+00 5.331102597803304144e-03
1.725400024414062594e+00 6.150613258772746374e-03
1.726400024414062484e+00 7.101866934877050855e-03
1.727400024414062596e+00 8.224104364810013237e-03
1.728400024414062486e+00 9.558590641318046033e-03
1.729400024414062598e+00 1.118717396782840587e-02
1.730400024414062488e+00 1.307449432842455739e-02
1.731400024414062599e+00 1.536401811340742073e-02
1.732400024414062489e+00 1.812130949712601607e-02
1.733400024414062601e+00 2.112751072664571794e-02
1.734400024414062491e+00 2.445158098954180667e-02
1.735400024414062603e+00 2.782138241294694267e-02
1.736400024414062493e+00 3.139165044245804947e-02
1.737400024414062605e+00 3.509282696584541811e-02
1.738400024414062495e+00 3.943013265110231758e-02
1.739400024414062607e+00 4.389058949847228497e-02
1.740400024414062496e+00 4.892121609927495979e-02
1.741400024414062608e+00 5.457227978046837874e-02
1.742400024414062498e+00 6.054317845201097337e-02
1.743400024414062610e+00 6.722559996344616706e-02
1.744400024414062500e+00 7.471480303012434376e-02
1.745400024414062390e+00 8.350454384333090563e-02
1.746400024414062502e+00 9.334648194463572579e-02
1.747400024414062392e+00 1.050928951242826315e-01
1.748400024414062504e+00 1.188735161991010952e-01
1.749400024414062393e+00 1.347515542073210448e-01
1.750400024414062505e+00 1.531917184511448482e-01
1.751400024414062395e+00 1.736041267258642273e-01
1.752400024414062507e+00 1.946374835434332429e-01
1.753400024414062397e+00 2.174663448130934318e-01
1.754400024414062509e+00 2.403705411168188255e-01
1.755400024414062399e+00 2.635029362484901938e-01
1.756400024414062511e+00 2.861470297756137926e-01
1.757400024414062401e+00 3.079074604010237914e-01
1.758400024414062290e+00 3.271434645118823092e-01
1.759400024414062402e+00 3.450508743008348089e-01
1.760400024414062292e+00 3.610196432236894570e-01
1.761400024414062404e+00 3.755721499759764881e-01
1.762400024414062294e+00 3.891313623628383511e-01
1.763400024414062406e+00 4.023094892786150401e-01
1.764400024414062296e+00 4.140401740227884764e-01
1.765400024414062408e+00 4.253940543382017103e-01
1.766400024414062297e+00 4.360538139163748772e-01
1.767400024414062409e+00 4.457609083043592157e-01
1.768400024414062299e+00 4.553489744503564918e-01
1.769400024414062411e+00 4.642053584843869873e-01
1.770400024414062301e+00 4.724600441752149216e-01
1.771400024414062413e+00 4.791457780629653773e-01
1.772400024414062303e+00 4.850321589818360479e-01
1.773400024414062415e+00 4.898277443210100057e-01
1.774400024414062305e+00 4.935274883289597625e-01
1.775400024414062417e+00 4.967180089313363300e-01
1.776400024414062306e+00 4.980087948587521018e-01
1.777400024414062418e+00 4.999171405393409984e-01
1.778400024414062308e+00 5.000816425467559112e-01
1.779400024414062420e+00 5.013810637708917550e-01
1.780400024414062310e+00 5.022406205671364754e-01
1.781400024414062422e+00 5.024916700833880201e-01
1.782400024414062312e+00 5.031437613690210586e-01
1.783400024414062424e+00 5.031401410875014912e-01
1.784400024414062313e+00 5.034828400954657335e-01
1.785400024414062425e+00 5.043034678398038428e-01
1.786400024414062315e+00 5.046536642507635229e-01
1.787400024414062427e+00 5.053628733105269832e-01
1.788400024414062317e+00 5.067116382291375620e-01
1.789400024414062429e+00 5.072035529873567539e-01
1.790400024414062319e+00 5.077304290625759275e-01
1.791400024414062431e+00 5.081224811066357150e-01
1.792400024414062321e+00 5.082907132570324560e-01
1.793400024414062432e+00 5.080225363300256980e-01
1.794400024414062322e+00 5.081216491252964484e-01
1.795400024414062434e+00 5.069362669417933898e-01
1.796400024414062324e+00 5.061560180918479590e-01
1.797400024414062436e+00 5.046862814580612699e-01
1.798400024414062326e+00 5.032317308093173791e-01
1.799400024414062438e+00 5.022452719259197229e-01
1.800400024414062328e+00 5.006173786896683797e-01
1.801400024414062440e+00 4.995253342335231328e-01
1.802400024414062329e+00 4.977806690720130156e-01
1.803400024414062441e+00 4.962516986131259022e-01
1.804400024414062331e+00 4.943761324812162017e-01
1.805400024414062443e+00 4.926444121792120656e-01
1.806400024414062333e+00 4.915344151641761750e-01
1.807400024414062445e+00 4.910174335154219305e-01
1.808400024414062335e+00 4.903051960414230304e-01
1.809400024414062447e+00 4.897420209275678005e-01
1.810400024414062337e+00 4.895176238455041240e-01
1.811400024414062448e+00 4.885955168082478650e-01
1.812400024414062338e+00 4.893862242185964551e-01
1.813400024414062450e+00 4.895425443035540392e-01
1.814400024414062340e+00 4.904328864900205365e-01
1.815400024414062452e+00 4.912552960408256841e-01
1.816400024414062342e+00 4.916833783715874318e-01
1.817400024414062454e+00 4.925832034811429283e-01
1.818400024414062344e+00 4.941138610503607587e-01
1.819400024414062456e+00 4.951667465164197313e-01
1.820400024414062345e+00 4.958373238518929416e-01
1.821400024414062457e+00 4.973225737836663995e-01
1.822400024414062347e+00 4.988107489985369458e-01
1.823400024414062459e+00 4.991822962429933730e-01
1.824400024414062349e+00 5.015220042611896467e-01
1.825400024414062461e+00 5.028034102521787840e-01
1.826400024414062351e+00 5.039361069773506951e-01
1.827400024414062463e+00 5.046844362168342313e-01
1.828400024414062353e+00 5.052242096733231547e-01
1.829400024414062464e+00 5.059946743799856872e-01
1.830400024414062354e+00 5.075814398194353760e-01
1.831400024414062466e+00 5.078400606916377846e-01
1.832400024414062356e+00 5.092207598658856638e-01
1.833400024414062468e+00 5.097388552739188228e-01
1.834400024414062358e+00 5.097793929814711245e-01
1.835400024414062470e+00 5.099005273146982598e-01
1.836400024414062360e+00 5.113240222608148589e-01
1.837400024414062472e+00 5.112974884913391582e-01
1.838400024414062361e+00 5.116361105975415491e-01
1.839400024414062473e+00 5.115308141177680179e-01
1.840400024414062363e+00 5.119308809147732342e-01
1.841400024414062475e+00 5.113850462236015915e-01
1.842400024414062365e+00 5.116798988796222858e-01
1.843400024414062477e+00 5.115410234957480373e-01
1.844400024414062367e+00 5.112658476463270985e-01
1.845400024414062479e+00 5.113156035711385883e-01
1.846400024414062369e+00 5.102033638903638035e-01
1.847400024414062480e+00 5.094691439395035992e-01
1.848400024414062370e+00 5.095848191332441601e-01
1.849400024414062482e+00 5.084725751701484331e-01
1.850400024414062372e+00 5.073972468582168549e-01
1.851400024414062484e+00 5.068959141300701798e-01
1.852400024414062374e+00 5.067439066517701596e-01
1.853400024414062486e+00 5.060974138263192312e-01
1.854400024414062376e+00 5.044166988753874259e-01
1.855400024414062488e+00 5.039384355055038789e-01
1.856400024414062377e+00 5.030990227585989683e-01
1.857400024414062489e+00 5.035199045431181242e-01
1.858400024414062379e+00 5.028728958789060455e-01
1.859400024414062491e+00 5.022568104312463699e-01
1.860400024414062381e+00 5.017530542681563066e-01
1.861400024414062493e+00 5.011553702780492392e-01
1.862400024414062383e+00 5.004279136348565027e-01
1.863400024414062495e+00 5.000842623483140459e-01
1.864400024414062385e+00 4.993389774776342271e-01
1.865400024414062496e+00 4.998430617340807736e-01
1.866400024414062386e+00 5.001904128094507573e-01
1.867400024414062498e+00 4.998615123271462624e-01
1.868400024414062388e+00 5.002715023759158885e-01
1.869400024414062500e+00 5.006671131281248410e-01
1.870400024414062390e+00 5.014172193773959174e-01
1.871400024414062502e+00 5.021221749130156953e-01
1.872400024414062392e+00 5.028638806957242968e-01
1.873400024414062504e+00 5.037863320703434011e-01
1.874400024414062393e+00 5.046020982247299003e-01
1.875400024414062505e+00 5.051828093869195069e-01
1.876400024414062395e+00 5.063205992806736333e-01
1.877400024414062507e+00 5.064184845476753516e-01
1.878400024414062397e+00 5.068656152685759864e-01
1.879400024414062509e+00 5.072307168610158401e-01
1.880400024414062399e+00 5.083736216638785610e-01
1.881400024414062511e+00 5.089448398907356896e-01
1.882400024414062401e+00 5.095272723323311936e-01
1.883400024414062290e+00 5.100569186198937732e-01
1.884400024414062402e+00 5.109915796890015516e-01
1.885400024414062292e+00 5.116948369913989492e-01
1.886400024414062404e+00 5.124563064013661906e-01
1.887400024414062294e+00 5.128595617782636396e-01
