# WAVELENGTH THROUGHPUT
2.988923940999999473e+00 0.000000000000000000e+00
2.990275173000000120e+00 0.000000000000000000e+00
2.991626404999999878e+00 1.143871160330033428e-04
2.992977637000000080e+00 1.232061058277621342e-04
2.994328868000000199e+00 1.327467022255913076e-04
2.995680099999999957e+00 1.422366903568846529e-04
2.997031331000000076e+00 1.519904298129978151e-04
2.998382562000000195e+00 1.629698256936149936e-04
2.999733794000000398e+00 1.746979008231234771e-04
3.001085025000000073e+00 1.875311833758712139e-04
3.002436256999999831e+00 2.010815141204223497e-04
3.003787487999999950e+00 2.151023038722169685e-04
3.005138720000000152e+00 2.298900727635177685e-04
3.006489950999999827e+00 2.461411664358987140e-04
3.007841181999999947e+00 2.640240602994657431e-04
3.009192414000000149e+00 2.829386464469772679e-04
3.010543645000000268e+00 3.026126473642313489e-04
3.011894877000000026e+00 3.236561466551088123e-04
3.013246108000000145e+00 3.463764892991400696e-04
3.014597339999999903e+00 3.706516146809970733e-04
3.015948571000000022e+00 3.971910861250731368e-04
3.017299802999999780e+00 4.247865954168777167e-04
3.018651033999999900e+00 4.539721154597288781e-04
3.020002265000000019e+00 4.851409857790305686e-04
3.021353497000000221e+00 5.185963976630609748e-04
3.022704728000000340e+00 5.538626993912372162e-04
3.024055960000000098e+00 5.916462443388125630e-04
3.025407191000000218e+00 6.320271419432859673e-04
3.026758423000000420e+00 6.744007928439567411e-04
3.028109654000000095e+00 7.201918509630217445e-04
3.029460885999999853e+00 7.701101282909120303e-04
3.030812116999999972e+00 8.234081354366212021e-04
3.032163348000000092e+00 8.802256836933538805e-04
3.033514579999999849e+00 9.415523252060474350e-04
3.034865810999999969e+00 1.007237872877277422e-03
3.036217043000000171e+00 1.077529334670527649e-03
3.037568274000000290e+00 1.153803275727481766e-03
3.038919506000000048e+00 1.236211054132494791e-03
3.040270737000000167e+00 1.324616993207557028e-03
3.041621967999999843e+00 1.420551405783191485e-03
3.042973200000000045e+00 1.524166947232314046e-03
3.044324431000000164e+00 1.636513172831530801e-03
3.045675662999999922e+00 1.758395091412635978e-03
3.047026894000000041e+00 1.890295583930067230e-03
